"Handle"	"Funder Identifier lt. CrossRef"	"Funder-Info lt. CrossRef"	"Funder-Phrase lt. PDF"	"keine Funder-Angabe im PDF"
"10419/175623"	"'10.13039/100004336'"	"'Novartis', 'European Union Interreg IV'"	"The project was funded by the European Union within the INTERREG IV Program (grant reference number “A 12 – Prométhée”). In 2011, the Transplantation Center Freiburg also received funding from Novartis for supporting the study. Neither funding body played any role in the design of the study and collection, analysis, and interpretation of data, or in the writing of the manuscript."	
"10419/175642"		"'Icelandic Research Fund', 'University of Iceland Eimskip Fund'"	"The project was funded by the Icelandic Research Fund (IRF grant number 130611-052) and The University of Iceland Eimskip Fund. The data collection was financed and carried out by the Directorate of Health Iceland (and formerly the Public Health Institute of Iceland). The authors would like to thank the Directorate for access to the data."	
"10419/194676"		"'University of Cape Coast'"	"The research is a product of my PhD programme which was partly funded by the University of Cape Coast."	
"10419/195859"	"'10.13039/501100004515'"	"'Universiti Kebangsaan Malaysia'"	"The research is partially funded by the Young Researchers Incentive Grant GGPM-2016-004 provided
by the National University of Malaysia."	
"10419/169301"		"'European Community's Seventh Framework Program'"	"The research leading to these results has received funding from the European Community’s Seventh Framework Programme (FP7/2007–2013) under grant agreement no. 290752."	
"10419/195015"	"'10.13039/100004431'"	"'Directorate-General for Research and Innovation'"	"The research leading to these results has received funding from the European Union’s Seventh Framework Programme for research, technological development and demonstration under grant agreement no. 613256, project STYLE: http://www.style-research.eu/."	
"10419/195072"	"'10.13039/100000104', '10.13039/501100003193', '10.13039/100010783'"	"'National Aeronautics and Space Administration', 'Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky', 'Slovenská Akadémia Vied'"	"The research leading to these results has received funding from the Land-Cover and Land-Use Change Program of the National Aeronautic Space Administration (NASA) and from the grant project of the Ministry of Education, Science, Research and Sport of the Slovak Republic and the Slovak Academy of Sciences (VEGA 2/0171/16 and 1/ 0934/17)"	
"10419/161805"	"'10.13039/501100005380', '10.13039/501100001808'"	"'Bundesamt für Energie', 'Kommission für Technologie und Innovation'"	"The research presented in this paper was financially supported by Swiss Federal Office of Energy (Grant number SI/501053-01) and Commission for Technology and Innovation in Switzerland (CTI Grant number 16702.2 PFEN-ES)."	
"10419/213946"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"The research project was conducted at the Leibniz Institute for Research on Society and Space, Erkner (near Berlin), and at the University of Stuttgart, Germany, between 2013 and 2015. It was financed by the German Research Foundation (DFG) under Grant CH 864/3-1, IB 95/6-1, JE 202/6-1 and WA 1591/6-1. "	
"10419/197255"	"'10.13039/501100001659'"	"'Deutsche Forschungsgemeinschaft'"	"The research project was supported by the German Research Foundation (DFG) via the research training group 1644 “Scaling Problems in Statistics”."	
"10419/188984"	"'10.13039/501100005416'"	"'Norges Forskningsråd'"	"The research reported in this article was funded by the Research Council of Norway, Programme for Regional R&D and Innovation (VRI), and by the county municipalities of Sogn og Fjordane, Møre og Romsdal, Rogaland and Østfold, in addition to resources from the participating research actors."	
"10419/205826"		"'Australian Learning and Teaching Council'"	"The research was funded by Australian Learning and Teaching Council (now Office of Learning and Teaching) Priority Program [grant number PP10-1646] “Capstone Courses in Undergraduate Business Degrees: Better Course Design, Better Learning Activities, Better Assessment”."	
"10419/195038"	"'10.13039/501100000269'"	"'Economic and Social Research Council'"	"The research was funded by ESRC Impact Acceleration Accounts. "	
"10419/195815"	"'10.13039/501100002850'"	"'Fondo Nacional de Desarrollo Científico y Tecnológico'"	"The research was partially supported by FONDECYT 1160868 project grant from the Chilean Government."	
"10419/157216"		"'Collegium of World Economy, Warsaw School of Economics', 'Faculty of Psychology, University of Warsaw', 'National Science Centre, Poland'"	"The research was supported by a grant BST 164640 from the Faculty of Psychology, University of Warsaw, JO and by a grant BMN2015 from the Collegium of World Economy, Warsaw School of Economics, AK. The preparation of the manuscript was supported by a grant BMN2015 from the Collegium of World Economy, Warsaw School of Economics, AK and by a grant 2015/19/ B/HS6/01633 from the National Science Centre, Poland, JO."	
"10419/194703"	"'10.13039/501100000193', '10.13039/501100000974'"	"'International Development Research Centre', 'Australian Centre for International Agricultural Research', 'No direct Funding'"	"The research was supported by CultiAF project as part of “Precooked Bean” Project Activities in East Africa that were funded by International Development Research Centre (IDRC)/Australian Centre for International Agricultural Research (ACIAR)."	
"10419/188981"		"'Association of African Universities'"	"The research was supported by the Association of African Universities (AAU) through the award of small grants for theses and dissertations, in the year 2015."	
"10419/197271"	"'10.13039/501100003194'"	"'Agentúra Ministerstva Školstva, Vedy, Výskumu a Športu SR'"	"The Scientific Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic - Project VEGA No. 1/0846/18: “Evaluation of the efficiency of public procurement of selected commodities in healthcare facilities in the Slovak Republic”."	
"10419/197235"	"'10.13039/501100003194'"	"'Agentúra Ministerstva školstva, vedy, výskumu a športu SR'"	"The Scientific Grant Agency of the Ministry of Education, Science, Research and Sport of the Slovak Republic and the Slovak Academy of Sciences project 1/0945/17 Research of the economic quantification of marketing processes aimed at increasing the value for the patient, multi-dimensional analyses of the marketing mix of health facilities and quantification of their importance in the process of establishing a system to measure the quality and effectiveness of health system in the Slovak Republic."	
"10419/175632"	"'10.13039/100013331'"	"'American Society of Anesthesiologists'"	"The study was completed by Avalon Health Economics, funded by the American Society of Anesthesiologists (ASA). "	
"10419/196988"		"'College of Banking and Financial Studies'"	"The study was fund by the College of Banking and Financial Studies (CBFS) in Oman, as part of the Research Grant Scheme."	
"10419/175619"	"'10.13039/501100013407'"	"'Medela AG'"	"The study was funded and initiated by Medela AG. "	
"10419/195013"	"'10.13039/501100004281', '10.13039/501100001870'"	"'Narodowe Centrum Nauki', 'Fundacja na rzecz Nauki Polskiej'"	"The study was funded by a grant from the National Science Centre, Poland, project no. UMO-2012/05/N/HS4/00194. Ewa Gałecka-Burdziak, as the co-author, during the paper preparation, was also a “START” Scholarship holder granted by the Foundation for Polish Science (FNP)."	
"10419/175599"		"'ALK-Abelló, Hørsholm, Denmark'"	"The study was funded by ALK-Abelló, Hørsholm, Denmark."	
"10419/175631"	"'10.13039/501100000024'"	"'Canadian Institutes of Health Research'"	"The study was funded by the Canadian Institutes for Health Research Grant number PHE 129912. "	
"10419/181430"	"'10.13039/501100002347'"	"'Bundesministerium für Bildung und Forschung'"	"The study was funded by the Federal Ministry for Education and Research (BMBF Grant No. #01UW0706)."	
"10419/200703"		"'German Federal Ministry for Education and Research', 'Harding Center for Risk Literacy'"	"The study was funded by the German Federal Ministry for Education and Research (BMBF Grant No. 01UW0706) (www.bmbf.de) and by the Harding Center for Risk Literacy at the Max Planck Institute for Human Development (Germany)—a nonprofit research organization (www.mpib-berlin.mpg.de/en/research/harding- center). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript."	
"10419/176450"		"'University of Exeter Business School'"	"The study was funded through a PhD scholarship granted to the author by the University of Exeter Business School."	
"10419/213931"	"'10.13039/501100001663'"	"'Volkswagen Foundation'"	"The study was part of the research consortium “New regional formations: environmental change and migration in coastal areas in Ghana and Indonesia” (NRF), which was funded by the Volkswagen Foundation (2014–2017)."	
"10419/154730"	"'10.13039/501100004281'"	"'Narodowe Centrum Nauki (PL)'"	"The support of the National Science Centre (grant UMO-2012/01/D/HS4/04039) is gratefully acknowledged. "	
"10419/167986"	"'10.13039/501100000266'"	"'Engineering and Physical Sciences Research Council'"	"The support to BS via an EPSRC Ph.D. studentship (Grant No. EP/P505593/1) is gratefully acknowledged."	
"10419/176394"		"'>Shenzhen Municipal Science and Technology R&D Funding'"	"The work described in this paper was partially supported by a grant from the Shenzhen Municipal Science and Technology R&D Funding—Basic Research Program (Project No. JCYJ20140417105742712). "	
"10419/187867"	"'10.13039/501100002347'"	"'Federal Ministry of Education and Research'"	"The work is part of the RESTORE 2050 project (Wuppertal Institute, Next Energy, University of Oldenburg) that is financed by the Federal Ministry of Education and Research (BMBF, Fkz. 03SFF0439A)."	
"10419/167907"	"'10.13039/501100001809'"	"'National Natural Science Foundation of China'"	"The work of Jiaqin Wei is supported by National Natural Science Foundation of China (11601157)."	
