	Index	handle	page_n	ne	type_ne	crossref_doi	crossref_phrase	pdf_phrase	funder	matched_funder
605	1176	10419/195670	15	STRIKE		'10.13039/100011264'	'FP7 Marie Curie Action'	TheworkwaspartiallysupportedbytheEuropeanUnionintheFP7-PEOPLE-2012-ITN Program under Grant Agreement Number 304617 (FP7 Marie Curie Action, Project Multi-ITN STRIKE – Novel Methods in Computational Finance).	Y	
606	1181	10419/195746	15	National Research University Higher School of Economics		'10.13039/501100007251'	'National Research University Higher School of Economics'	This research was funded by National Research University Higher School of Economics in its Basic Research Program.	Y	National Research University Higher School of Economics (Russian Federation); doi:10.13039/501100007251; 95.00
607	1182	10419/195746	15	Basic Research Program		'10.13039/501100007251'	'National Research University Higher School of Economics'	This research was funded by National Research University Higher School of Economics in its Basic Research Program.	Y	Applied Basic Research Program of Sichuan Province (China); doi:10.13039/100012551; 90.00
608	1183	10419/195762	19	Universiti Putra Malaysia		'10.13039/501100008850'	'Universiti Putra Malaysia'	This research was funded by Universiti Putra Malaysia grant number GP-IPS 9536600.	Y	Universiti Putra Malaysia (Malaysia); doi:10.13039/501100004530; 95.00
609	1184	10419/195762	19	GP - IPS		'10.13039/501100008850'	'Universiti Putra Malaysia'	This research was funded by Universiti Putra Malaysia grant number GP-IPS 9536600.	Y	
610	1187	10419/195783	21	Natural Sciences and Engineering Research Council of Canada		'10.13039/501100003329', '10.13039/501100002790', '10.13039/501100003741'	'Ministerio de Economía y Competitividad', 'Natural Sciences and Engineering Research Council of Canada', 'Institució Catalana de Recerca i Estudis Avançats'	Jean-Philippe Boucher acknowledges the financial support of the Natural Sciences and Engineering Research Council of Canada. Montserrat Guillen appreciates the recognition of ICREA Academia and ECO2016-76203-C02-2-P. 	Y	Natural Sciences and Engineering Research Council of Canada (Canada); doi:10.13039/501100000038; 95.00
611	1188	10419/195783	21	ICREA Academia		'10.13039/501100003329', '10.13039/501100002790', '10.13039/501100003741'	'Ministerio de Economía y Competitividad', 'Natural Sciences and Engineering Research Council of Canada', 'Institució Catalana de Recerca i Estudis Avançats'	Jean-Philippe Boucher acknowledges the financial support of the Natural Sciences and Engineering Research Council of Canada. Montserrat Guillen appreciates the recognition of ICREA Academia and ECO2016-76203-C02-2-P. 	Y	
612	1191	10419/195815	20	FONDECYT 1160868 project grant		'10.13039/501100002850'	'Fondo Nacional de Desarrollo Científico y Tecnológico'	The research was partially supported by FONDECYT 1160868 project grant from the Chilean Government.	Y	
613	1192	10419/195815	20	Chilean Government		'10.13039/501100002850'	'Fondo Nacional de Desarrollo Científico y Tecnológico'	The research was partially supported by FONDECYT 1160868 project grant from the Chilean Government.	Y	
614	1195	10419/195817	22	Economic and Social Research Council		'10.13039/501100003631', '10.13039/501100000781'	'Economic and Social Research Council', 'European Research Council'	The author was supported by the Economic and Social Research Council, grant number ES/J500112/1, and the European Research Council, grant AdG 694262.	Y	Economic and Social Research Council (United Kingdom); doi:10.13039/501100000269; 95.00
615	1197	10419/195817	22	European Research Council , grant AdG		'10.13039/501100003631', '10.13039/501100000781'	'Economic and Social Research Council', 'European Research Council'	The author was supported by the Economic and Social Research Council, grant number ES/J500112/1, and the European Research Council, grant AdG 694262.	Y	
616	1202	10419/195851	15	Dr. Yi Lu		'10.13039/501100002790'	'Natural Sciences and Engineering Research Council of Canada'	This research for Dr. Yi Lu was supported by the Natural Science and Engineering Research Council (NSERC) of Canada (grant number 611467).	Y	
617	1204	10419/195851	15	NSERC		'10.13039/501100002790'	'Natural Sciences and Engineering Research Council of Canada'	This research for Dr. Yi Lu was supported by the Natural Science and Engineering Research Council (NSERC) of Canada (grant number 611467).	Y	Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada (Canada) (CANRIMT, NSERC (Canada)); doi:10.13039/501100002790; 90.00
618	1206	10419/195859	16	Young Researchers Incentive Grant		'10.13039/501100004515'	'Universiti Kebangsaan Malaysia'	"The research is partially funded by the Young Researchers Incentive Grant GGPM-2016-004 provided
by the National University of Malaysia."	Y	
619	1207	10419/195859	16	National University of Malaysia		'10.13039/501100004515'	'Universiti Kebangsaan Malaysia'	"The research is partially funded by the Young Researchers Incentive Grant GGPM-2016-004 provided
by the National University of Malaysia."	Y	Universiti Kebangsaan Malaysia (Malaysia) (National University of Malaysia (Malaysia)); doi:10.13039/501100004515; 95.00
620	1209	10419/195861	17	Actuarial Excellence		'10.13039/100008139'	'Society of Actuaries'	This research has received funding from the Society of Actuaries through our Center of Actuarial Excellence (CAE) research grant on data mining.	Y	
621	1210	10419/195861	17	CAE		'10.13039/100008139'	'Society of Actuaries'	This research has received funding from the Society of Actuaries through our Center of Actuarial Excellence (CAE) research grant on data mining.	Y	CAEP Foundation (China); doi:10.13039/501100019791; 90.00
622	1213	10419/195863	18	Actuarial Excellence		'10.13039/100008139'	'Society of Actuaries'	This research has received funding from the Society of Actuaries through a Center of Actuarial Excellence (CAE) research grant on data mining.	Y	
623	1214	10419/195863	18	CAE		'10.13039/100008139'	'Society of Actuaries'	This research has received funding from the Society of Actuaries through a Center of Actuarial Excellence (CAE) research grant on data mining.	Y	CAEP Foundation (China); doi:10.13039/501100019791; 90.00
624	1215	10419/195870	12	Good Governance Fund of l’Autorité des Marchés Financiers		'10.13039/501100002790', '10.13039/501100003151'	'Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada', 'Fonds de recherche du Québec – Nature et technologies'	This research was funded by the Education and Good Governance Fund of l’Autorité des Marchés Financiers (EGGF AMF, Québec), the Fonds de Recherche du Québec - Nature et Technologies (FRQNT, Godin, 2017-NC-197517) and the Natural Sciences and Engineering Research Council of Canada (NSERC, Godin, RGPIN-2017-06837).	Y	
625	1216	10419/195870	12	Natural Sciences and Engineering Research Council of Canada		'10.13039/501100002790', '10.13039/501100003151'	'Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada', 'Fonds de recherche du Québec – Nature et technologies'	This research was funded by the Education and Good Governance Fund of l’Autorité des Marchés Financiers (EGGF AMF, Québec), the Fonds de Recherche du Québec - Nature et Technologies (FRQNT, Godin, 2017-NC-197517) and the Natural Sciences and Engineering Research Council of Canada (NSERC, Godin, RGPIN-2017-06837).	Y	Natural Sciences and Engineering Research Council of Canada (Canada); doi:10.13039/501100000038; 95.00
626	1217	10419/195870	12	EGGF		'10.13039/501100002790', '10.13039/501100003151'	'Canadian Network for Research and Innovation in Machining Technology, Natural Sciences and Engineering Research Council of Canada', 'Fonds de recherche du Québec – Nature et technologies'	This research was funded by the Education and Good Governance Fund of l’Autorité des Marchés Financiers (EGGF AMF, Québec), the Fonds de Recherche du Québec - Nature et Technologies (FRQNT, Godin, 2017-NC-197517) and the Natural Sciences and Engineering Research Council of Canada (NSERC, Godin, RGPIN-2017-06837).	Y	
627	1218	10419/195879	15	International Funds KU Leuven grant numbers		'10.13039/501100004497', '10.13039/501100003130'	'Onderzoeksraad, KU Leuven', 'Fonds Wetenschappelijk Onderzoek'	This research was funded by International Funds KU Leuven grant numbers C16/15/068 and C24/15/001, the CRoNoS COST Action grant number IC1408 and the Flemish Science Foundation (FWO) grant number 1523915N.	Y	
628	1221	10419/195879	15	COST		'10.13039/501100004497', '10.13039/501100003130'	'Onderzoeksraad, KU Leuven', 'Fonds Wetenschappelijk Onderzoek'	This research was funded by International Funds KU Leuven grant numbers C16/15/068 and C24/15/001, the CRoNoS COST Action grant number IC1408 and the Flemish Science Foundation (FWO) grant number 1523915N.	Y	MarViva Foundation (Costa Rica); doi:10.13039/501100013911; 90.00
629	1222	10419/195879	15	FWO		'10.13039/501100004497', '10.13039/501100003130'	'Onderzoeksraad, KU Leuven', 'Fonds Wetenschappelijk Onderzoek'	This research was funded by International Funds KU Leuven grant numbers C16/15/068 and C24/15/001, the CRoNoS COST Action grant number IC1408 and the Flemish Science Foundation (FWO) grant number 1523915N.	Y	Fonds Wetenschappelijk Onderzoek (Belgium) (FWO (Belgium)); doi:10.13039/501100003130; 90.00
630	1224	10419/196932	32	Federal University			'Federal University, Wukari, Nigeria'	This study is partly funded by Federal University, Wukari.	Y	Ural Federal University (Russian Federation); doi:10.13039/501100009688; 90.00
631	1235	10419/196950	7	graduate course of Research Methods			'Internal Grant Agency of Faculty of Business Administration, University of Economics in Prague'	This study is based on the seminar study for the graduate course of Research Methods in Business Administration (3CV401), thought at the University of Economics in Prague and it was also supported by Internal Grant Agency of Faculty of Business Administration, University of Economics in Prague, under no.: IP300040.	Y	
632	1237	10419/196950	7	Internal Grant Agency of Faculty of Business Administration			'Internal Grant Agency of Faculty of Business Administration, University of Economics in Prague'	This study is based on the seminar study for the graduate course of Research Methods in Business Administration (3CV401), thought at the University of Economics in Prague and it was also supported by Internal Grant Agency of Faculty of Business Administration, University of Economics in Prague, under no.: IP300040.	Y	
633	1239	10419/196952	10	Malaysian Ministry of Higher Education		'10.13039/501100003093'	'Ministry of Higher Education, Malaysia'	Malaysian Ministry of Higher Education (MOHE) has provided the financial support for the conduct of this study.	Y	Ministry of Higher Education, Malaysia (Malaysia); doi:10.13039/501100003093; 93.73
634	1243	10419/196952	10	MOHE		'10.13039/501100003093'	'Ministry of Higher Education, Malaysia'	Malaysian Ministry of Higher Education (MOHE) has provided the financial support for the conduct of this study.	Y	Ministry of Higher Education (Egypt) (MOHE (Egypt)); doi:10.13039/501100002385; 90.00
635	1246	10419/196955	24	Indian Institute of Science		'10.13039/100007780'	'Indian Institute of Science'	The funding for this study was provided by funded by Indian Institute of Science, Bangalore. The funding covered design of the study and data collection, analysis, and interpretation of data and in writing the manuscript.	Y	Indian Institute of Science (India); doi:10.13039/100007780; 95.00
636	1248	10419/196964	16	National Science Foundation of China			'The ministry of education humanities and social science fund project'	The authors acknowledge and thank the National Science Foundation of China (NSFC 71203079) for the financial support.	Y	National Natural Science Foundation of China (China); doi:10.13039/501100001809; 95.00
637	1249	10419/196964	16	NSFC			'The ministry of education humanities and social science fund project'	The authors acknowledge and thank the National Science Foundation of China (NSFC 71203079) for the financial support.	Y	National Natural Science Foundation of China-Liaoning Joint Fund (China) (NSFC-Liaoning Joint Fund (China)); doi:10.13039/100017052; 90.00
638	1251	10419/196988	15	Research Grant Scheme			'College of Banking and Financial Studies'	The study was fund by the College of Banking and Financial Studies (CBFS) in Oman, as part of the Research Grant Scheme.	Y	
639	1253	10419/196988	15	CBFS			'College of Banking and Financial Studies'	The study was fund by the College of Banking and Financial Studies (CBFS) in Oman, as part of the Research Grant Scheme.	Y	
640	1254	10419/196994	19	Global Advancement			'Centers for Global Advancement and International Affairs, Rutgers University'	This study was funded by the Centers for Global Advancement and International Affairs at Rutgers University.	Y	
641	1255	10419/196994	19	Rutgers University			'Centers for Global Advancement and International Affairs, Rutgers University'	This study was funded by the Centers for Global Advancement and International Affairs at Rutgers University.	Y	Brain Health Institute, Rutgers University (United States); doi:10.13039/100015306; 90.00
642	1259	10419/196996	15	National Research Foundation of Korea Grant		'10.13039/501100001809', '10.13039/501100013286'	'National Natural Science Foundation of China', 'Specialized Research Fund for the Doctoral Program of Higher Education of China', 'Joint Research of The NSFC-NRF Scientific Cooperation Program'	This work supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2014S1A2A2027622), and supported in part by the National Natural Science Foundation of China under grants 71471076, 71171099, and 71201071, and by the Joint Research of The NSFC-NRF Scientific Cooperation Program under grant 71411170250. This work was also sponsored by Qing Lan Project and 333 Project of Jiangsu Province, and Jiangsu University Top Talents Training Project.	Y	
643	1260	10419/196996	15	Korean Government		'10.13039/501100001809', '10.13039/501100013286'	'National Natural Science Foundation of China', 'Specialized Research Fund for the Doctoral Program of Higher Education of China', 'Joint Research of The NSFC-NRF Scientific Cooperation Program'	This work supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2014S1A2A2027622), and supported in part by the National Natural Science Foundation of China under grants 71471076, 71171099, and 71201071, and by the Joint Research of The NSFC-NRF Scientific Cooperation Program under grant 71411170250. This work was also sponsored by Qing Lan Project and 333 Project of Jiangsu Province, and Jiangsu University Top Talents Training Project.	Y	
644	1261	10419/196996	15	National Natural Science Foundation of China		'10.13039/501100001809', '10.13039/501100013286'	'National Natural Science Foundation of China', 'Specialized Research Fund for the Doctoral Program of Higher Education of China', 'Joint Research of The NSFC-NRF Scientific Cooperation Program'	This work supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2014S1A2A2027622), and supported in part by the National Natural Science Foundation of China under grants 71471076, 71171099, and 71201071, and by the Joint Research of The NSFC-NRF Scientific Cooperation Program under grant 71411170250. This work was also sponsored by Qing Lan Project and 333 Project of Jiangsu Province, and Jiangsu University Top Talents Training Project.	Y	National Natural Science Foundation of China (China); doi:10.13039/501100001809; 95.00
645	1262	10419/196996	15	NSFC - NRF Scientific Cooperation Program		'10.13039/501100001809', '10.13039/501100013286'	'National Natural Science Foundation of China', 'Specialized Research Fund for the Doctoral Program of Higher Education of China', 'Joint Research of The NSFC-NRF Scientific Cooperation Program'	This work supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2014S1A2A2027622), and supported in part by the National Natural Science Foundation of China under grants 71471076, 71171099, and 71201071, and by the Joint Research of The NSFC-NRF Scientific Cooperation Program under grant 71411170250. This work was also sponsored by Qing Lan Project and 333 Project of Jiangsu Province, and Jiangsu University Top Talents Training Project.	Y	
646	1263	10419/196996	15	Qing Lan Project		'10.13039/501100001809', '10.13039/501100013286'	'National Natural Science Foundation of China', 'Specialized Research Fund for the Doctoral Program of Higher Education of China', 'Joint Research of The NSFC-NRF Scientific Cooperation Program'	This work supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2014S1A2A2027622), and supported in part by the National Natural Science Foundation of China under grants 71471076, 71171099, and 71201071, and by the Joint Research of The NSFC-NRF Scientific Cooperation Program under grant 71411170250. This work was also sponsored by Qing Lan Project and 333 Project of Jiangsu Province, and Jiangsu University Top Talents Training Project.	Y	Qinglan Project of Jiangsu Province of China (China) (Qing Lan Project (China)); doi:10.13039/501100013088; 95.00
647	1264	10419/196996	15	333 Project of Jiangsu Province		'10.13039/501100001809', '10.13039/501100013286'	'National Natural Science Foundation of China', 'Specialized Research Fund for the Doctoral Program of Higher Education of China', 'Joint Research of The NSFC-NRF Scientific Cooperation Program'	This work supported by the National Research Foundation of Korea Grant funded by the Korean Government (NRF-2014S1A2A2027622), and supported in part by the National Natural Science Foundation of China under grants 71471076, 71171099, and 71201071, and by the Joint Research of The NSFC-NRF Scientific Cooperation Program under grant 71411170250. This work was also sponsored by Qing Lan Project and 333 Project of Jiangsu Province, and Jiangsu University Top Talents Training Project.	Y	“333 Project” of Jiangsu Province (China); doi:10.13039/501100018592; 95.00
648	1269	10419/197046	12	Taiwan Ministry of Science		'10.13039/501100004663'	'Taiwan Ministry of Science and Technology'	The author would like to thank Jo Chen for collecting the related socio-economic data and Chih-Gang Liu for compiling the data. This research is part of a research project funded by the Taiwan Ministry of Science and Technology [MOST 104-2410-H-309-011-].	Y	
649	1270	10419/197046	12	MOST		'10.13039/501100004663'	'Taiwan Ministry of Science and Technology'	The author would like to thank Jo Chen for collecting the related socio-economic data and Chih-Gang Liu for compiling the data. This research is part of a research project funded by the Taiwan Ministry of Science and Technology [MOST 104-2410-H-309-011-].	Y	Ministry of Science,Technology and Research (Sri Lanka) (MoSTR (Sri Lanka)); doi:10.13039/501100008981; 90.00
650	1272	10419/197073	10	JSPS KAKENHI Grant Numbers 17K03746		'10.13039/501100000646'	'Japan Society for the Promotion of Science London'	We would like to thank seminar participants for helpful comments. Research for this paper was supported financially by JSPS KAKENHI Grant Numbers 17K03746 and 17K03791.	Y	
651	1272	10419/197073	10	JSPS KAKENHI Grant Numbers 17K03746		'10.13039/501100000646'	'Japan Society for the Promotion of Science London'	We would like to thank seminar participants for helpful comments. Research for this paper was supported financially by JSPS KAKENHI Grant Numbers 17K03746 and 17K03791.	Y	
652	1277	10419/197087	21	Local Caribbean Climate Change Adaptation		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	
653	1278	10419/197087	21	Research Programme for Sustainable Development		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	
654	1279	10419/197087	21	Sustainable Water Management		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	
655	1281	10419/197087	21	Caribbean Grant		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	
656	1282	10419/197087	21	Contract Number		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	
657	1283	10419/197087	21	ACP		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	Aspen Center for Physics (United States) (ACP (United States)); doi:10.13039/100007739; 90.00
658	1284	10419/197087	21	RSD		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	Beiersdorf (Germany); doi:10.13039/501100010558; 90.00
659	1286	10419/197087	21	IDRC		'10.13039/501100007204'	'International Development Research Centre'	 The Global to Local Caribbean Climate Change Adaptation and Mitigation Scenarios (GoLoCarSce) research project was partially funded (Contract Number: FED/2011/281-134) by the European Union-African, Caribbean and Pacific (ACP) Research Programme for Sustainable Development (CP-RSD). Further funding was provided by the International Development Research Centre (IDRC) under the Sustainable Water Management under Climate Change in Small Island States of the Caribbean Grant 107096-001. The results can under no circumstances be regarded as reflecting the position of the European Union or IDRC.	Y	International Development Research Centre (Canada) (IDRC (Canada)); doi:10.13039/501100000193; 90.00
660	1287	10419/197099	12	generous support of USDA		'10.13039/100000199'	'U.S. Department of Agriculture'	The authors acknowledge the generous support of USDA and USAID via the cooperative agreement grant TA-CA-15-008-01.	Y	
661	1288	10419/197099	12	TA - CA-15 - 008		'10.13039/100000199'	'U.S. Department of Agriculture'	The authors acknowledge the generous support of USDA and USAID via the cooperative agreement grant TA-CA-15-008-01.	Y	
662	1291	10419/197099	12	USAID		'10.13039/100000199'	'U.S. Department of Agriculture'	The authors acknowledge the generous support of USDA and USAID via the cooperative agreement grant TA-CA-15-008-01.	Y	Australian Agency for International Development (Australia) (AusAID (Australia)); doi:10.13039/501100000972; 90.00
663	1292	10419/197224	9	JSPS KAKENHI Grant Numbers		'10.13039/501100001691', '10.13039/501100003478'	'Japan Society for the Promotion of Science', 'Ministry of Health, Labour and Welfare', 'ImPACT program of Cabinet Office, Government of Japan'	This research is funded by JSPS KAKENHI Grant Numbers 15 J03333 and 15 K03508, and grants from the Ministry of Health, Labour and Welfare, Japan (H27-Policy- Strategic-011), and Actualize Energetic Life by Creating Brain Information Industries of ImPACT program of Cabinet Office, Government of Japan.	Y	
664	1292	10419/197224	9	JSPS KAKENHI Grant Numbers		'10.13039/501100001691', '10.13039/501100003478'	'Japan Society for the Promotion of Science', 'Ministry of Health, Labour and Welfare', 'ImPACT program of Cabinet Office, Government of Japan'	This research is funded by JSPS KAKENHI Grant Numbers 15 J03333 and 15 K03508, and grants from the Ministry of Health, Labour and Welfare, Japan (H27-Policy- Strategic-011), and Actualize Energetic Life by Creating Brain Information Industries of ImPACT program of Cabinet Office, Government of Japan.	Y	
665	1293	10419/197224	9	Brain Information Industries of ImPACT		'10.13039/501100001691', '10.13039/501100003478'	'Japan Society for the Promotion of Science', 'Ministry of Health, Labour and Welfare', 'ImPACT program of Cabinet Office, Government of Japan'	This research is funded by JSPS KAKENHI Grant Numbers 15 J03333 and 15 K03508, and grants from the Ministry of Health, Labour and Welfare, Japan (H27-Policy- Strategic-011), and Actualize Energetic Life by Creating Brain Information Industries of ImPACT program of Cabinet Office, Government of Japan.	Y	
666	1294	10419/197224	9	Cabinet Office		'10.13039/501100001691', '10.13039/501100003478'	'Japan Society for the Promotion of Science', 'Ministry of Health, Labour and Welfare', 'ImPACT program of Cabinet Office, Government of Japan'	This research is funded by JSPS KAKENHI Grant Numbers 15 J03333 and 15 K03508, and grants from the Ministry of Health, Labour and Welfare, Japan (H27-Policy- Strategic-011), and Actualize Energetic Life by Creating Brain Information Industries of ImPACT program of Cabinet Office, Government of Japan.	Y	Cabinet Office, Government of Japan (Japan); doi:10.13039/501100002770; 90.00
667	1299	10419/197226	10	Vitality Institute		'10.13039/100000049'	'National Institute on Aging', 'The Vitality Institute'	This research was supported by the Vitality Institute and the National Institute of Aging.	Y	
668	1300	10419/197226	10	National Institute of Aging		'10.13039/100000049'	'National Institute on Aging', 'The Vitality Institute'	This research was supported by the Vitality Institute and the National Institute of Aging.	Y	
669	1301	10419/197229	10	Hans Frisch Foundation			'Hans Frisch Foundation, University Erlangen Nuremberg'	This study was partly financed by the Hans Frisch Foundation at the Friedrich Alexander University of Erlangen, Nuremberg.	Y	
670	1302	10419/197229	10	Friedrich Alexander University of Erlangen			'Hans Frisch Foundation, University Erlangen Nuremberg'	This study was partly financed by the Hans Frisch Foundation at the Friedrich Alexander University of Erlangen, Nuremberg.	Y	Friedrich-Alexander-Universität Erlangen-Nürnberg (Germany) (Friedrich Alexander University of Erlangen Nuremberg (Germany)); doi:10.13039/501100001652; 95.00
671	1304	10419/197231	8	MITACS			'MITACS Accelerate Program'	The MITACS Accelerate Program (funding by the Federal Government and Proteocyte Diagnostic Inc) supported this research. The funders head no role in any aspect of this study.	Y	Mitacs (Canada); doi:10.13039/501100004489; 90.00
672	1308	10419/197232	8	MS Society		'10.13039/501100000381'	'Multiple Sclerosis Society'	This paper summarises independent research funded by the MS Society in the UK (award number 872/07). 	Y	National MS Society, Upper Midwest Chapter (United States); doi:10.13039/100015415; 90.00
673	1312	10419/197239	9	Swiss Federal Commission for Technology			'CTI Commission of Technology and Innovation Switzerland'	This study was funded by the Swiss Federal Commission for Technology and Innovation (grant number KTI-Nr. 16978.1 PFES-ES) and by Compliant Concept, a private company. 	Y	
674	1313	10419/197239	9	KTI - Nr			'CTI Commission of Technology and Innovation Switzerland'	This study was funded by the Swiss Federal Commission for Technology and Innovation (grant number KTI-Nr. 16978.1 PFES-ES) and by Compliant Concept, a private company. 	Y	
675	1317	10419/197240	14	Work Package		'10.13039/501100007601'	'Horizon 2020'	This research is part of the Work Package 4 of the SENSE-Cog project, which has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement no. 668648. 	Y	
676	1318	10419/197240	14	SENSE - Cog project		'10.13039/501100007601'	'Horizon 2020'	This research is part of the Work Package 4 of the SENSE-Cog project, which has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement no. 668648. 	Y	
677	1319	10419/197240	14	European Union ’s Horizon 2020 research and innovation programme		'10.13039/501100007601'	'Horizon 2020'	This research is part of the Work Package 4 of the SENSE-Cog project, which has received funding from the European Union’s Horizon 2020 research and innovation programme under grant agreement no. 668648. 	Y	
678	1329	10419/197241	7	Post - Doctoral Office of Sponsored Research			'Noguchi Memorial Institute for Medical Research; Postdoctoral Office'	"A grant was won by the lead author from the Noguchi Memorial Institute for Medical Research, Legon Ghana. This grant was to aid data collection and was not conditioned to influence the design, collection of data, analysis, interpretation and writing of manuscript.
This funding was provided under the Post-Doctoral Office of Sponsored Research which gives an annual grant to master students to support and aid quality research and mitigate financial constraints."	Y	
679	1334	10419/197246	17	Policy Research Programme			'Policy Research Programme, Department of Health (UK'	This in an independent research commissioned and funded by the Policy Research Programme in the Department of Health (reference 006/0060).	Y	
680	1339	10419/197250	10	VEGA Project		'10.13039/501100006109'	'Vedecká Grantová Agentúra MŠVVaŠ SR a SAV'	VEGA Project No. 1/0945/17 - Scientific Grant Agency of the Ministry of Education, science, research and sport of the Slovak Republic and the Slovak Academy of Sciences.	Y	
681	1345	10419/197257	7	Merck KGaA			'Merck BV, the Netherlands, an affiliate of Merck KGaA, Darmstadt, Germany.'	This study was a local study funded by Merck BV, the Netherlands, an affiliate of Merck KGaA, Darmstadt, Germany.	Y	Merck KGaA (Germany); doi:10.13039/100009945; 90.00
682	1346	10419/197257	7	Merck BV			'Merck BV, the Netherlands, an affiliate of Merck KGaA, Darmstadt, Germany.'	This study was a local study funded by Merck BV, the Netherlands, an affiliate of Merck KGaA, Darmstadt, Germany.	Y	
683	1348	10419/197258	8	Focused Research of Osaka Sangyo University			'JSPS Kakenhi Grant', 'The Focused Research of Osaka Sangyo University', 'JSPS Kakenhi Grant', 'The Focused Research of Osaka Sangyo University'	This work was partly supported by JSPS Kakenhi Grant Number 17KO3637 (Fujii) 26705004 (Osaki) and The Focused Research of Osaka Sangyo University (Fujii and Osaki).	Y	
684	1350	10419/197258	8	JSPS			'JSPS Kakenhi Grant', 'The Focused Research of Osaka Sangyo University', 'JSPS Kakenhi Grant', 'The Focused Research of Osaka Sangyo University'	This work was partly supported by JSPS Kakenhi Grant Number 17KO3637 (Fujii) 26705004 (Osaki) and The Focused Research of Osaka Sangyo University (Fujii and Osaki).	Y	Japan Society for the Promotion of Science London (United Kingdom) (JSPS London (United Kingdom)); doi:10.13039/501100000646; 90.00
